top - 18:42:23 up  8:06,  1 user,  load average: 2.07, 1.21, 0.78
Tasks: 258 total,   5 running, 250 sleeping,   3 stopped,   0 zombie
%Cpu(s): 44.4 us, 26.4 sy,  0.0 ni, 29.2 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3883.9 total,   1587.4 free,   1168.4 used,   1427.7 buff/cache     
MiB Swap:   1024.0 total,   1023.5 free,      0.5 used.   2715.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    128 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/55-+
    129 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    130 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    132 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    134 root      20   0       0      0      0 I   0.0   0.0   0:00.23 kworker+
    138 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    142 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    143 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    277 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    278 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    279 root      20   0       0      0      0 S   0.0   0.0   0:00.02 scsi_eh+
    280 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    281 root      20   0       0      0      0 S   0.0   0.0   0:00.04 scsi_eh+
    282 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    290 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    296 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    357 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/16-+
    358 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    359 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    360 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    395 root      20   0       0      0      0 S   0.0   0.0   0:05.57 jbd2/sd+
    396 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    444 root     -51   0       0      0      0 S   0.0   0.0   0:01.88 irq/56-+
    445 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/57-+
    446 root     -51   0       0      0      0 S   0.0   0.0   0:00.23 irq/58-+
    460 root      20   0   51160  20128  18976 S   0.0   0.5   0:03.43 systemd+
    484 root      20   0  158632   1648   1380 S   0.0   0.0   0:00.00 vmware-+
    487 systemd+  20   0   91876   8096   7072 S   0.0   0.2   0:02.30 systemd+
    492 root      20   0   36932  11240   7784 S   0.0   0.3   0:00.70 systemd+
    517 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
    640 root      20   0    8380   7388   1708 S   0.0   0.2   0:01.75 haveged
    648 root      20   0  309016   6968   6328 S   0.0   0.2   0:00.24 account+
    650 message+  20   0   10232   6552   4376 S   0.0   0.2   0:13.09 dbus-da+
    654 polkitd   20   0  385948  10368   7644 S   0.0   0.3   0:02.11 polkitd
    656 root      20   0   18980   9140   7988 S   0.0   0.2   0:02.20 systemd+
    657 root      20   0  253168   9956   8292 S   0.0   0.3   1:59.72 vmtoolsd
    688 root      20   0  336372  19024  16336 S   0.0   0.5   0:02.96 Network+
    689 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    691 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    723 root      20   0    6864   2700   2572 S   0.0   0.1   0:00.19 cron
    774 root      20   0  317180  12164  10500 S   0.0   0.3   0:00.15 ModemMa+
    807 root      20   0  380964   6900   6260 S   0.0   0.2   0:00.03 lightdm
    823 root      20   0    8160   2488   2360 S   0.0   0.1   0:00.02 agetty
    842 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
    875 rtkit     21   1   87008   3092   2964 S   0.0   0.1   0:01.04 rtkit-d+
    944 root      20   0  172764  10460   9308 S   0.0   0.3   0:00.01 lightdm
    955 kali      20   0   23084  12908  10220 S   0.0   0.3   0:00.82 systemd
    957 kali      20   0   25040   3860   2028 S   0.0   0.1   0:00.00 (sd-pam)
    977 kali      20   0    9284   5676   4268 S   0.0   0.1   0:01.61 dbus-da+
    978 kali      20   0  110656  13028   8932 S   0.0   0.3   0:00.06 pipewire
    979 kali      20   0   84744   5288   4776 S   0.0   0.1   0:00.02 pipewire
    981 kali      20   0  612960  28712  21416 S   0.0   0.7   0:00.25 wireplu+
    982 kali      20   0   99292   8604   7324 S   0.0   0.2   0:00.03 pipewir+
    983 kali      20   0  183140  10128   9232 S   0.0   0.3   0:00.23 gnome-k+
    984 kali      20   0    7224   3604   3348 S   0.0   0.1   0:00.07 mpris-p+
   1006 kali      20   0  355156  40864  16980 S   0.0   1.0   0:05.01 xfce4-s+
   1073 kali      20   0  381164   7384   6872 S   0.0   0.2   0:00.03 at-spi-+
   1080 kali      20   0    8720   4816   4304 S   0.0   0.1   0:00.69 dbus-da+
   1091 kali      20   0  168744   7428   6788 S   0.0   0.2   0:01.88 at-spi2+
   1098 kali      20   0   10928   1960    728 S   0.0   0.0   0:00.00 ssh-age+
   1107 kali      20   0  155452   3520   3264 S   0.0   0.1   0:00.89 gpg-age+
   1110 kali      20   0 1477932 132508  89868 S   0.0   3.3   5:13.91 xfwm4
   1114 kali      20   0  312636   7592   6824 S   0.0   0.2   0:00.14 gvfsd
   1120 kali      20   0  398368   6876   6236 S   0.0   0.2   0:00.00 gvfsd-f+
   1145 kali      20   0  275388  24636  17232 S   0.0   0.6   0:01.63 xfsetti+
   1150 kali      20   0  165228   5796   5412 S   0.0   0.1   0:00.05 dconf-s+
   1152 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1153 kali      20   0  519608  55856  32348 S   0.0   1.4   0:15.36 xfce4-p+
   1161 kali      20   0  509144  49236  35028 S   0.0   1.2   0:19.70 Thunar
   1167 kali      20   0  499296  87864  43180 S   0.0   2.2   0:37.37 xfdeskt+
   1168 kali      20   0  429492  43840  33776 S   0.0   1.1   0:03.38 wrapper+
   1175 kali      20   0  325856  78676  22292 S   0.0   2.0   2:59.54 wrapper+
   1176 kali      20   0  345976  24792  18140 S   0.0   0.6   0:00.83 wrapper+
   1177 kali      20   0  274020  27480  20552 S   0.0   0.7   2:44.33 wrapper+
   1178 kali      20   0  359416  37932  29908 S   0.0   1.0   0:01.15 wrapper+
   1179 kali      20   0  425616  36108  28328 S   0.0   0.9   0:00.74 wrapper+
   1180 kali      20   0  286488  37204  29468 S   0.0   0.9   0:12.85 wrapper+
   1182 kali      20   0  425848  36588  28772 S   0.0   0.9   0:00.91 wrapper+
   1219 root      20   0  318876   9904   8112 S   0.0   0.2   0:07.23 upowerd
   1225 kali      20   0  361388  38204  30128 S   0.0   1.0   0:02.27 xfce4-n+
   1236 kali      20   0  216656  42040  18968 S   0.0   1.1   0:07.96 xfce4-s+
   1242 kali      20   0  427876  38352  30324 S   0.0   1.0   0:00.55 polkit-+
   1258 kali      20   0  529168  57928  32464 S   0.0   1.5   0:01.17 blueman+
   1260 kali      20   0  336556  23096  16456 S   0.0   0.6   0:01.44 xfce4-p+
