top - 18:47:36 up 18 min,  1 user,  load average: 2.02, 1.01, 0.54
Tasks: 258 total,   5 running, 253 sleeping,   0 stopped,   0 zombie
%Cpu(s): 42.1 us, 27.6 sy,  0.0 ni, 30.3 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3883.9 total,   2277.2 free,   1033.0 used,    813.8 buff/cache     
MiB Swap:   1024.0 total,   1024.0 free,      0.0 used.   2850.9 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    119 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/46-+
    120 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/47-+
    121 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/48-+
    122 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/49-+
    123 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/50-+
    124 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/51-+
    125 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/52-+
    126 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/53-+
    127 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/54-+
    128 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/55-+
    129 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    130 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
    131 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    132 root       0 -20       0      0      0 I   0.0   0.0   0:00.21 kworker+
    133 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    134 root      20   0       0      0      0 I   0.0   0.0   0:00.03 kworker+
    139 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    143 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    144 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    145 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    180 root      20   0       0      0      0 I   0.0   0.0   0:00.01 kworker+
